d,s,seed,auc,method,attr_auc,prec,queries,sec_per_expl
100,5,0,0.7844333333333333,witness,0.7651929824561405,0.34666666666666673,0.0,0.0006961644006272157
100,5,0,0.7844333333333333,gradient,0.7476491228070175,0.32000000000000006,0.0,9.865300186599295e-05
100,5,0,0.7844333333333333,shap,0.6276491228070176,0.2133333333333334,12003.666666666666,0.2708857947999301
100,5,0,0.7844333333333333,lime,0.5553684210526316,0.06666666666666667,800.0,0.021562636333207288
100,5,1,0.8890000000000001,witness,0.7432982456140351,0.3466666666666666,0.0,0.0002786212678377827
100,5,1,0.8890000000000001,gradient,0.7360000000000001,0.36,0.0,6.906179866443078e-05
100,5,1,0.8890000000000001,shap,0.528421052631579,0.11999999999999998,12003.666666666666,0.2747379414659614
100,5,1,0.8890000000000001,lime,0.5188771929824562,0.10666666666666666,800.0,0.023339394402379792
100,5,2,0.7014,witness,0.7987368421052632,0.2933333333333334,0.0,0.00025736966636031867
100,5,2,0.7014,gradient,0.7962105263157896,0.30666666666666675,0.0,8.116913183281819e-05
100,5,2,0.7014,shap,0.6458947368421052,0.2933333333333334,12003.666666666666,0.2661311503344526
100,5,2,0.7014,lime,0.4960000000000001,0.05333333333333334,800.0,0.02359557446713249
100,5,0,0.8993,witness,0.8576842105263157,0.41333333333333333,0.0,5.394906814520558e-05
100,5,0,0.8993,gradient,0.8543157894736843,0.38666666666666677,0.0,0.00023882980070387324
100,5,0,0.8993,shap,0.7027368421052631,0.3866666666666667,12003.666666666666,0.26831610906713954
100,5,0,0.8993,lime,0.5891929824561404,0.13333333333333333,800.0,0.027136684601039938
100,5,1,0.9536,witness,0.8014035087719298,0.4799999999999999,0.0,0.0001964409331170221
100,5,1,0.9536,gradient,0.7964912280701755,0.4799999999999999,0.0,0.00034055353219931327
100,5,1,0.9536,shap,0.6671578947368421,0.3333333333333333,12003.666666666666,0.27565184079964333
100,5,1,0.9536,lime,0.5148070175438597,0.13333333333333336,800.0,0.022940241933489838
100,5,2,0.8015666666666668,witness,0.8750877192982457,0.4133333333333334,0.0,0.0007739980666277309
100,5,2,0.8015666666666668,gradient,0.8472982456140351,0.40000000000000013,0.0,0.0003546803335969647
100,5,2,0.8015666666666668,shap,0.6453333333333333,0.2800000000000001,12003.666666666666,0.2669066418660805
100,5,2,0.8015666666666668,lime,0.5497543859649122,0.06666666666666667,800.0,0.02255298513531064
100,5,0,0.9527333333333334,witness,0.894736842105263,0.5200000000000001,0.0,0.00022570586685712138
100,5,0,0.9527333333333334,gradient,0.8767719298245615,0.49333333333333335,0.0,7.872680046906074e-05
100,5,0,0.9527333333333334,shap,0.7619649122807017,0.4666666666666668,12003.666666666666,0.2564745289312365
100,5,0,0.9527333333333334,lime,0.6262456140350878,0.16000000000000003,800.0,0.022720695333555342
100,5,1,0.9804333333333333,witness,0.8617543859649123,0.52,0.0,0.00021859813326348862
100,5,1,0.9804333333333333,gradient,0.8717192982456141,0.5466666666666666,0.0,0.0003650192675801615
100,5,1,0.9804333333333333,shap,0.7630877192982456,0.5066666666666667,12003.666666666666,0.2775210891345826
100,5,1,0.9804333333333333,lime,0.5532631578947368,0.13333333333333333,800.0,0.023433327135474732
100,5,2,0.8934,witness,0.904280701754386,0.5866666666666666,0.0,0.00022642806870862842
100,5,2,0.8934,gradient,0.8874385964912279,0.5866666666666666,0.0,6.926686813433965e-05
100,5,2,0.8934,shap,0.7108070175438598,0.4266666666666667,12003.666666666666,0.2655685484021281
100,5,2,0.8934,lime,0.5473684210526315,0.11999999999999998,800.0,0.02206476160014669
100,5,0,0.9843000000000001,witness,0.928561403508772,0.6533333333333334,0.0,0.0012995605977873007
100,5,0,0.9843000000000001,gradient,0.8896842105263157,0.6266666666666667,0.0,0.0006589475980338951
100,5,0,0.9843000000000001,shap,0.8499649122807018,0.6000000000000001,12003.666666666666,0.2696389187981064
100,5,0,0.9843000000000001,lime,0.6670877192982456,0.24000000000000005,800.0,0.022095227734340975
100,5,1,0.9952,witness,0.9230877192982455,0.6666666666666667,0.0,0.00041229926670591037
100,5,1,0.9952,gradient,0.9312280701754386,0.6533333333333332,0.0,0.0002916700012671451
100,5,1,0.9952,shap,0.8835789473684212,0.6133333333333334,12003.666666666666,0.2641711658022056
100,5,1,0.9952,lime,0.6621754385964913,0.22666666666666666,800.0,0.02310805846937001
100,5,2,0.972,witness,0.9383859649122807,0.68,0.0,0.00022966906738777955
100,5,2,0.972,gradient,0.9334736842105265,0.6266666666666666,0.0,7.18611991032958e-05
100,5,2,0.972,shap,0.8122807017543859,0.5733333333333335,12003.666666666666,0.27062462326527265
100,5,2,0.972,lime,0.5872280701754387,0.17333333333333334,800.0,0.022759456598820785
100,5,0,0.9960333333333333,witness,0.974877192982456,0.76,0.0,0.00039679626546179256
100,5,0,0.9960333333333333,gradient,0.9524210526315788,0.7200000000000001,0.0,0.00039841606824969253
100,5,0,0.9960333333333333,shap,0.9093333333333332,0.6933333333333334,12003.666666666666,0.27888666073558854
100,5,0,0.9960333333333333,lime,0.7562105263157897,0.3066666666666667,800.0,0.021727649599779398
100,5,1,0.9998,witness,0.9500350877192983,0.7200000000000001,0.0,0.0002470527969611188
100,5,1,0.9998,gradient,0.9590175438596492,0.7733333333333333,0.0,6.901139859110117e-05
100,5,1,0.9998,shap,0.8945964912280701,0.7066666666666669,12003.666666666666,0.274400324067877
100,5,1,0.9998,lime,0.743859649122807,0.36,800.0,0.02381848293589428
100,5,2,0.9925666666666666,witness,0.9695438596491227,0.7200000000000001,0.0,0.0008980976650491357
100,5,2,0.9925666666666666,gradient,0.9508771929824562,0.7466666666666666,0.0,6.922986746455232e-05
100,5,2,0.9925666666666666,shap,0.8563508771929824,0.6,12003.666666666666,0.29075317273382095
100,5,2,0.9925666666666666,lime,0.6785964912280702,0.3066666666666667,800.0,0.022402599869140734
